blade_id,turbine_id,blade_type,length_m
B01171,T0130,Type-B ,60.0
B01172,T0126,Type-B,61.0
B01173,T0130,Type-B,58.0
B01174,T0175,Type-B,60.0
B01175,T0029,Type-D,61.0
B01176,t0159,Type-E,61.0
B01177,T0008,Type-C,58.0
B01178,T0062,Type-D,58.0
B01179,T0040,Type-D,62.5
B01180,T0190,Type-A,62.5
B01181,T0091,Type-D,62.5
B01182,T0048,Type-A,60.0
B01183,T0138,Type-E,61.0
B01184,T0127,Type-D,60.0
B01185,t0104,Type-D,61.0
B01186,T0028,Type-C,58.0
B01187,t0033,Type-A,
B01188,T0142,Type-B ,58.0
B01189,T0141,Type-C,62.5
B01190,T0056,Type-B,61.0
B01191,T0019,Type-C,55.0
B01192,T0084,Type-A,58.0
B01193,T0055,Type-B,60.0
B01194,T0057,Type-B,62.5
B01195,T0018,Type-B,60.0
B01196,T0098,Type-C,58.0
B01197,T0025,Type-E,62.5
B01198,T0061,Type-E,60.0
B01199,T0009,Type-D,58.0
B01200,T0130,Type-D,58.0
B01201,T0050,Type-B,55.0
B01202,T0046,Type-D,61.0
B01203,T0128,Type-E ,55.0
B01204,T0155,Type-E,58.0
B01205,T0146,Type-D,62.5
B01206,T0139,Type-A,61.0
B01207,T0112,Type-E,61.0
B01208,T0104,Type-C,58.0
B01209,T0047,Type-E,55.0
B01210,T0058,Type-D,60.0
B01211,T0146,Type-E,60.0
B01212,T0135,Type-D,58.0
B01213,T0177,Type-E,58.0
B01214,T0189,Type-C,62.5
B01215,T0028,Type-E,58.0
B01216,T0042,Type-D,62.5
B01217,T0074,Type-D,55.0
B01218,T0117,Type-A,55.0
B01219,T0162,Type-A,55.0
B01220,T0054,Type-C,62.5
B01221,T0021,Type-E,58.0
B01222,T0154,Type-A,60.0
B01223,t0077,Type-C,60.0
B01224,T0198,Type-E,55.0
B01225,T0197,Type-B,55.0
B01226,t0063,Type-B,62.5
B01227,T0143,Type-C,55.0
B01228,T0179,Type-D ,58.0
B01229,T0071,Type-D,60.0
B01230,T0156,Type-C,58.0
B01231,T0163,Type-E,62.5
B01232,T0026,Type-D,61.0
B01233,T0078,Type-C,55.0
B01234,T0031,Type-E,55.0
B01235,T0027,Type-A,58.0
B01236,T0170,Type-B,55.0
B01237,T0041,Type-D,58.0
B01238,T0152,Type-E,60.0
B01239,T0009,Type-C,61.0
B01240,T0085,Type-C,60.0
B01241,T0082,Type-E,55.0
B01242,T0187,Type-C,60.0
B01243,T0165,Type-B,61.0
B01244,T0152,Type-A,60.0
B01245,T0175,Type-A,58.0
B01246,T0099,Type-E,60.0
B01247,T0169,Type-E,62.5
B01248,T0020,Type-B,55.0
B01249,t0156,Type-A,60.0
B01250,T0097,Type-D,58.0
B01251,T0144,Type-E,60.0
B01252,T0137,Type-A,60.0
B01253,T0113,Type-D,58.0
B01254,T0041,Type-B,60.0
B01255,T0066,Type-C,58.0
B01256,T0123,Type-D,55.0
B01257,T0035,Type-B,62.5
B01258,T0001,Type-A,61.0
B01259,T0077,Type-B ,61.0
B01260,T0075,Type-D,55.0
B01261,T0192,Type-A,58.0
B01262,T0057,Type-B,55.0
B01263,T0109,Type-A,62.5
B01264,T0159,Type-D,60.0
B01265,T0130,Type-D,55.0
B01266,T0181,Type-C,62.5
B01267,t0169,Type-B,62.5
B01268,T0148,Type-A,58.0
B01269,T0135,Type-E,60.0
B01270,T0197,Type-C,60.0
B01271,T0069,Type-B,58.0
B01272,T0125,Type-E,62.5
B01273,T0036,Type-A,60.0
B01274,T0176,Type-C,55.0
B01275,T0117,Type-C,62.5
B01276,T0098,Type-C,60.0
B01277,T0154,Type-D,60.0
B01278,T0192,Type-C,60.0
B01279,T0174,Type-C,61.0
B01280,T0106,Type-E,62.5
B01281,t0129,Type-C,58.0
B01282,T0020,Type-E,60.0
B01283,T0080,Type-A,55.0
B01284,T0129,Type-B,61.0
B01285,t0130,Type-A,62.5
B01286,T0174,Type-A,55.0
B01287,T0138,Type-B,58.0
B01288,T0003,Type-D,62.5
B01289,T0089,Type-C,62.5
B01290,T0071,Type-C,58.0
B01291,T0153,Type-A,60.0
B01292,T0087,Type-A,60.0
B01293,T0145,Type-B,61.0
B01294,T0084,Type-D,61.0
B01295,T0078,Type-D,62.5
B01296,T0086,Type-E,55.0
B01297,T0098,Type-A,58.0
B01298,T0045,Type-B,61.0
B01299,T0159,Type-B,62.5
B01300,T0169,Type-A,58.0
B01301,T0150,Type-D,61.0
B01302,T0074,Type-C,55.0
B01303,T0116,Type-D,60.0
B01304,T0013,Type-D,61.0
B01305,T0088,Type-A,55.0
B01306,T0047,Type-C,60.0
B01307,T0090,Type-A,55.0
B01308,T0141,Type-B ,60.0
B01309,T0148,Type-D,60.0
B01310,T0130,Type-B,58.0
B01311,T0112,Type-A,61.0
B01312,T0014,Type-B,55.0
B01313,T0029,Type-A,61.0
B01314,t0063,Type-D,58.0
B01315,T0112,Type-E,58.0
B01316,T0174,Type-A,55.0
B01317,T0086,Type-E,62.5
B01318,T0057,Type-B,61.0
B01319,T0171,Type-A,61.0
B01320,T0127,Type-B,62.5
B01321,T0115,Type-A,58.0
B01322,T0122,Type-B,60.0
B01323,T0165,Type-C,60.0
B01324,T0056,Type-A,60.0
B01325,T0174,Type-E,61.0
B01326,T0077,Type-A,55.0
B01327,T0156,Type-D ,60.0
B01328,T0037,Type-B,60.0
B01329,T0107,Type-D,62.5
B01330,t0190,Type-D,58.0
B01331,T0033,Type-D,58.0
B01332,T0199,Type-E,58.0
B01333,T0064,Type-B,55.0
B01334,T0113,Type-C,61.0
B01335,T0140,Type-A,62.5
B01336,T0198,Type-A,61.0
B01337,T0075,Type-D,58.0
B01338,T0018,Type-E,60.0
B01339,T0046,Type-B,62.5
B01340,T0170,Type-D,60.0
B01341,T0040,Type-B,58.0
B01342,T0184,Type-B,60.0
B01343,t0017,Type-D,61.0
B01344,T0161,Type-E,61.0
B01345,T0105,Type-C,62.5
B01346,T0068,Type-A,62.5
B01347,T0099,Type-D,60.0
B01348,T0152,Type-D,58.0
B01349,T0046,Type-D,62.5
B01350,T0028,Type-A,60.0
B01351,T0043,Type-C,55.0
B01352,T0110,Type-B,61.0
B01353,T0023,Type-C,61.0
B01354,T0187,Type-B,55.0
B01355,T0070,Type-B,58.0
B01356,T0117,Type-B,62.5
B01357,T0086,Type-E,61.0
B01358,T0088,Type-E,62.5
B01359,T0103,Type-D,55.0
B01360,T0001,Type-E,58.0
B01361,T0114,Type-E,58.0
B01362,T0185,Type-B,58.0
B01363,T0064,Type-C,55.0
B01364,t0102,Type-E,61.0
B01365,T0007,Type-C,62.5
B01366,T0168,Type-B,62.5
B01367,T0188,Type-C,62.5
B01368,T0105,Type-D,61.0
B01369,t0181,Type-E,58.0
B01370,T0076,Type-B,62.5
B01371,T0054,Type-D,55.0
B01372,T0083,Type-D,62.5
B01373,T0007,Type-B,61.0
B01374,T0190,Type-C,55.0
B01375,T0152,Type-C,58.0
B01376,T0182,Type-C,62.5
B01377,T0050,Type-C,55.0
B01378,t0194,Type-E,61.0
B01379,T0174,Type-E,62.5
B01380,T0156,Type-C,62.5
B01381,T0180,Type-D,60.0
B01382,T0065,Type-A,61.0
B01383,T0104,Type-A,61.0
B01384,T0124,Type-A,58.0
B01385,T0154,Type-A,60.0
B01386,t0144,Type-A,61.0
B01387,T0130,Type-C,62.5
B01388,T0034,Type-E,58.0
B01389,T0107,Type-A,61.0
B01390,T0191,Type-D,62.5
B01391,T0007,Type-D,55.0
B01392,T0001,Type-D,61.0
B01393,T0116,Type-D,58.0
B01394,T0157,Type-D,55.0
B01395,T0024,Type-E,60.0
B01396,T0167,Type-A,62.5
B01397,T0169,Type-D,61.0
B01398,T0168,Type-A,60.0
B01399,T0161,Type-B,61.0
B01400,T0107,Type-D,55.0
B01401,T0175,Type-E,55.0
B01402,T0173,Type-B,62.5
B01403,T0171,Type-B,60.0
B01404,T0025,Type-A,58.0
B01405,T0199,Type-A,55.0
B01406,T0163,Type-B,55.0
B01407,T0136,Type-B,58.0
B01408,T0015,Type-D,61.0
B01409,T0150,Type-B,55.0
B01410,T0108,Type-B,60.0
B01411,T0182,Type-D,55.0
B01412,T0074,Type-E,55.0
B01413,T0091,Type-D,58.0
B01414,T0125,Type-A,62.5
B01415,T0027,Type-D,61.0
B01416,T0087,Type-B,55.0
B01417,T0072,Type-C,58.0
B01418,T0023,Type-B,62.5
B01419,T0080,Type-B,60.0
B01420,T0178,Type-D,61.0
B01421,T0055,Type-D,61.0
B01422,T0139,Type-E,60.0
B01423,t0002,Type-B,55.0
B01424,T0091,Type-A,61.0
B01425,T0154,Type-C,58.0
B01426,t0062,Type-E,60.0
B01427,T0101,Type-E,62.5
B01428,T0067,Type-A,62.5
B01429,T0011,Type-A,62.5
B01430,T0015,Type-A,62.5
B01431,T0139,Type-E ,58.0
B01432,T0002,Type-B,61.0
B01433,T0145,Type-A,60.0
B01434,T0091,Type-D,60.0
B01435,t0033,Type-B,55.0
B01436,T0138,Type-B,62.5
B01437,T0183,Type-A,62.5
B01438,T0146,Type-C,62.5
B01439,T0112,Type-A,62.5
B01440,T0164,Type-A,60.0
B01441,T0123,Type-D,58.0
B01442,T0197,Type-C,61.0
B01443,T0182,Type-D,58.0
B01444,T0050,Type-E,60.0
B01445,T0131,Type-C,61.0
B01446,T0098,Type-E,61.0
B01447,T0035,Type-C,61.0
B01448,T0097,Type-C,61.0
B01449,T0022,Type-B,55.0
B01450,T0098,Type-D,61.0
B01451,T0092,Type-A,61.0
B01452,T0145,Type-B,61.0
B01453,T0176,Type-B,58.0
B01454,T0126,Type-C,55.0
B01455,T0158,Type-D,58.0
B01456,T0165,Type-C,58.0
B01457,T0067,Type-C,60.0
B01458,T0021,Type-B,60.0
B01459,T0196,Type-B,62.5
B01460,T0068,Type-E,58.0
B01461,T0004,Type-D,62.5
B01462,T0084,Type-A,58.0
B01463,T0057,Type-C,62.5
B01464,T0035,Type-D,61.0
B01465,T0031,Type-B,62.5
B01466,T0161,Type-E,58.0
B01467,T0077,Type-A,55.0
B01468,T0162,Type-E,55.0
B01469,T0124,Type-E,60.0
B01470,T0057,Type-A,58.0
B01471,T0186,Type-E,55.0
B01472,T0164,Type-A,58.0
B01473,T0050,Type-C,58.0
B01474,T0158,Type-E,55.0
B01475,T0116,Type-C,62.5
B01476,T0006,Type-C,55.0
B01477,t0122,Type-A,60.0
B01478,T0189,Type-E,61.0
B01479,t0037,Type-A,58.0
B01480,T0174,Type-D,61.0
B01481,T0120,Type-D,58.0
B01482,T0076,Type-A,60.0
B01483,T0162,Type-E,60.0
B01484,T0163,Type-C,62.5
B01485,T0040,Type-D,58.0
B01486,T0100,Type-B,60.0
B01487,T0195,Type-A,60.0
B01488,T0090,Type-C,55.0
B01489,T0028,Type-B,60.0
B01490,T0169,Type-C,60.0
B01491,T0028,Type-E,55.0
B01492,T0061,Type-B,
B01493,T0163,Type-B,60.0
B01494,T0130,Type-A,62.5
B01495,T0165,Type-A,55.0
B01496,T0134,Type-D,61.0
B01497,T0036,Type-D,61.0
B01498,T0013,Type-C,60.0
B01499,T0100,Type-C,58.0
B01500,T0039,Type-E,62.5
B01501,T0099,Type-E,60.0
B01502,T0036,Type-D,58.0
B01503,T0194,Type-C,58.0
B01504,T0001,Type-A,61.0
B01505,T0176,Type-B,62.5
B01506,t0171,Type-E,60.0
B01507,t0099,Type-B,58.0
B01508,T0101,Type-E,60.0
B01509,T0158,Type-A,62.5
B01510,T0080,Type-B,60.0
B01511,T0197,Type-E,58.0
B01512,T0114,Type-B,62.5
B01513,T0061,Type-A,58.0
B01514,t0098,Type-E,62.5
B01515,T0054,Type-C,60.0
B01516,T0163,Type-C,60.0
B01517,T0119,Type-E,60.0
B01518,T0199,Type-C,60.0
B01519,T0112,Type-E,58.0
B01520,T0031,Type-C,61.0
B01521,t0073,Type-C,62.5
B01522,T0008,Type-C,61.0
B01523,T0112,Type-A,60.0
B01524,T0087,Type-A,61.0
B01525,T0080,Type-B,58.0
B01526,T0106,Type-C,55.0
B01527,T0015,Type-D,61.0
B01528,T0200,Type-D,55.0
B01529,T0134,Type-B,61.0
B01530,T0043,Type-B,55.0
B01531,t0169,Type-C,62.5
B01532,T0104,Type-B,60.0
B01533,T0041,Type-B,62.5
B01534,t0138,Type-C,55.0
B01535,T0064,Type-D,61.0
B01536,T0129,Type-E,55.0
B01537,T0180,Type-A,62.5
B01538,T0031,Type-E,60.0
B01539,T0179,Type-B,58.0
B01540,T0038,Type-B,62.5
B01541,T0171,Type-E,61.0
B01542,T0076,Type-E,62.5
B01543,T0132,Type-C,62.5
B01544,T0136,Type-D,60.0
B01545,T0200,Type-D,60.0
B01546,T0140,Type-B,62.5
B01547,T0133,Type-E,55.0
B01548,T0083,Type-C,55.0
B01549,T0034,Type-C,60.0
B01550,T0046,Type-D,58.0
B01551,T0047,Type-D,60.0
B01552,T0099,Type-E,55.0
B01553,T0142,Type-A,55.0
B01554,T0080,Type-E,61.0
B01555,T0068,Type-E,
B01556,T0016,Type-E,55.0
B01557,T0001,Type-D,55.0
B01558,T0119,Type-D,55.0
B01559,T0003,Type-B ,62.5
B01560,T0086,Type-C,62.5
B01561,T0008,Type-E,62.5
B01562,T0109,Type-E,55.0
B01563,T0120,Type-C,60.0
B01564,T0122,Type-A,60.0
B01565,T0043,Type-C,60.0
B01566,T0005,Type-B,
B01567,T0127,Type-C,61.0
B01568,T0036,Type-B,60.0
B01569,T0081,Type-E,55.0
B01570,T0141,Type-C,62.5
B01571,T0076,Type-E,61.0
B01572,T0171,Type-C,58.0
B01573,T0124,Type-A,62.5
B01574,t0170,Type-C,58.0
B01575,T0014,Type-E,62.5
B01576,T0163,Type-C,61.0
B01577,T0081,Type-B,62.5
B01578,T0155,Type-A,62.5
B01579,T0168,Type-E,61.0
B01580,T0047,Type-D,61.0
B01581,T0013,Type-D,55.0
B01582,T0132,Type-D,61.0
B01583,T0088,Type-E,55.0
B01584,T0053,Type-A,60.0
B01585,T0113,Type-D,60.0
B01586,T0051,Type-E,61.0
B01587,T0163,Type-D,60.0
B01588,T0194,Type-C,55.0
B01589,T0066,Type-E,61.0
B01590,T0184,Type-B,62.5
B01591,T0044,Type-C,58.0
B01592,T0183,Type-A,62.5
B01593,T0116,Type-A,62.5
B01594,T0015,Type-C,62.5
B01595,T0057,Type-C,61.0
B01596,t0065,Type-E,62.5
B01597,T0151,Type-A,58.0
B01598,T0010,Type-B,62.5
B01599,t0131,Type-A,61.0
B01600,T0130,Type-E ,62.5
B01601,T0175,Type-B,55.0
B01602,T0080,Type-A,60.0
B01603,T0057,Type-C,55.0
B01604,T0178,Type-A,60.0
B01605,T0162,Type-C,62.5
B01606,T0028,Type-D,61.0
B01607,T0013,Type-E,61.0
B01608,T0098,Type-B,61.0
B01609,T0164,Type-B,62.5
B01610,T0029,Type-D,62.5
B01611,T0085,Type-A,61.0
B01612,T0169,Type-D,60.0
B01613,T0138,Type-D,60.0
B01614,T0109,Type-B,62.5
B01615,T0057,Type-A,55.0
B01616,T0001,Type-D,55.0
B01617,T0155,Type-A,60.0
B01618,T0192,Type-D,60.0
B01619,t0086,Type-E,55.0
B01620,T0181,Type-C,61.0
B01621,T0043,Type-D,58.0
B01622,t0068,Type-C,55.0
B01623,T0042,Type-A,60.0
B01624,T0179,Type-D,60.0
B01625,T0194,Type-E,60.0
B01626,t0142,Type-D,58.0
B01627,T0147,Type-C,58.0
B01628,T0173,Type-C,55.0
B01629,T0018,Type-E,55.0
B01630,T0098,Type-D,60.0
B01631,T0133,Type-D ,61.0
B01632,t0156,Type-D,58.0
B01633,T0051,Type-A,62.5
B01634,T0154,Type-B,62.5
B01635,T0106,Type-D,55.0
B01636,T0093,Type-D,55.0
B01637,T0098,Type-B,61.0
B01638,T0078,Type-C,62.5
B01639,T0022,Type-E,58.0
B01640,T0200,Type-A,62.5
B01641,T0069,Type-D,55.0
B01642,T0032,Type-A,62.5
B01643,T0097,Type-C,62.5
B01644,T0094,Type-D,62.5
B01645,T0130,Type-A,55.0
B01646,T0050,Type-E,55.0
B01647,T0008,Type-A,60.0
B01648,T0102,Type-A,58.0
B01649,T0185,Type-A,61.0
B01650,T0035,Type-B,60.0
B01651,T0057,Type-E,55.0
B01652,T0056,Type-E,55.0
B01653,T0050,Type-D,58.0
B01654,T0100,Type-D,60.0
B01655,T0093,Type-B,58.0
B01656,T0099,Type-C,55.0
B01657,T0198,Type-B,58.0
B01658,T0166,Type-D,60.0
B01659,T0044,Type-E,55.0
B01660,T0019,Type-E,61.0
B01661,T0059,Type-E,61.0
B01662,t0063,Type-B,61.0
B01663,T0053,Type-D,58.0
B01664,T0129,Type-E,60.0
B01665,T0111,Type-B,62.5
B01666,T0093,Type-D,60.0
B01667,T0061,Type-A,55.0
B01668,T0074,Type-D,55.0
B01669,T0096,Type-B,55.0
B01670,T0168,Type-E,61.0
B01671,T0101,Type-B,62.5
B01672,T0048,Type-B,55.0
B01673,T0084,Type-B,61.0
B01674,T0124,Type-A,62.5
B01675,T0016,Type-C,55.0
B01676,T0105,Type-E,61.0
B01677,T0179,Type-E,55.0
B01678,T0088,Type-B,58.0
B01679,T0120,Type-C,61.0
B01680,T0036,Type-C,55.0
B01681,T0162,Type-C,61.0
B01682,T0174,Type-B,60.0
B01683,T0043,Type-A,62.5
B01684,T0033,Type-B,61.0
B01685,T0197,Type-B,62.5
B01686,T0085,Type-C,55.0
B01687,T0143,Type-D,55.0
B01688,T0055,Type-B,62.5
B01689,T0197,Type-E,62.5
B01690,T0068,Type-E,60.0
B01691,T0184,Type-C,55.0
B01692,T0036,Type-B,62.5
B01693,T0164,Type-A,62.5
B01694,T0020,Type-A,55.0
B01695,T0191,Type-A,61.0
B01696,T0184,Type-A,62.5
B01697,T0134,Type-B,60.0
B01698,T0151,Type-A,62.5
B01699,T0173,Type-A,60.0
B01700,T0042,Type-E ,62.5
B01701,T0189,Type-E,58.0
B01702,T0116,Type-A,58.0
B01703,T0086,Type-C,61.0
B01704,T0170,Type-A,61.0
B01705,T0138,Type-A,55.0
B01706,T0134,Type-D,60.0
B01707,T0145,Type-C,60.0
B01708,t0164,Type-E,61.0
B01709,T0089,Type-C,55.0
B01710,T0160,Type-A,62.5
B01711,T0020,Type-E,62.5
B01712,T0073,Type-B,55.0
B01713,T0200,Type-D,61.0
B01714,T0110,Type-D,61.0
B01715,T0101,Type-C,60.0
B01716,T0028,Type-E,62.5
B01717,T0085,Type-E,61.0
B01718,T0056,Type-D,58.0
B01719,T0191,Type-E,58.0
B01720,t0180,Type-B,58.0
B01721,T0083,Type-E,58.0
B01722,T0162,Type-A,61.0
B01723,T0027,Type-C,60.0
B01724,T0133,Type-E,62.5
B01725,T0077,Type-A,61.0
B01726,T0054,Type-D,62.5
B01727,T0192,Type-C,58.0
B01728,T0075,Type-B,61.0
B01729,T0128,Type-A,62.5
B01730,t0115,Type-D,60.0
B01731,T0145,Type-B,62.5
B01732,T0170,Type-A,61.0
B01733,T0083,Type-C,61.0
B01734,T0200,Type-A,58.0
B01735,T0161,Type-B,58.0
B01736,T0190,Type-D,61.0
B01737,T0196,Type-C,61.0
B01738,T0066,Type-D,62.5
B01739,T0110,Type-B,58.0
B01740,T0154,Type-C,55.0
B01741,T0051,Type-A,60.0
B01742,t0178,Type-E,62.5
B01743,T0025,Type-B,60.0
B01744,T0110,Type-C,61.0
B01745,T0189,Type-C,60.0
B01746,T0164,Type-D,61.0
B01747,t0187,Type-E,60.0
B01748,T0151,Type-C,58.0
B01749,T0023,Type-D,55.0
B01750,T0115,Type-A,61.0
B01751,T0152,Type-A,58.0
B01752,T0023,Type-C,62.5
B01753,T0104,Type-D,60.0
B01754,T0176,Type-A,61.0
B01755,T0010,Type-C,62.5
B01756,T0153,Type-E,55.0
B01757,T0107,Type-D ,60.0
B01758,T0072,Type-B,62.5
B01759,T0029,Type-B,62.5
B01760,T0151,Type-D,58.0
B01761,t0165,Type-B,61.0
B01762,T0058,Type-E,60.0
B01763,T0051,Type-D,60.0
B01764,T0190,Type-B,61.0
B01765,t0181,Type-C,62.5
B01766,T0057,Type-C,62.5
B01767,T0130,Type-E,60.0
B01768,T0177,Type-B,60.0
B01769,T0025,Type-C,58.0
B01770,T0111,Type-E,55.0
B01771,T0191,Type-C,62.5
B01772,T0109,Type-D,55.0
B01773,T0086,Type-A,61.0
B01774,T0173,Type-C,60.0
B01775,T0001,Type-C,61.0
B01776,T0110,Type-A,61.0
B01777,T0053,Type-A,62.5
B01778,T0035,Type-C,62.5
B01779,T0091,Type-C,58.0
B01780,T0132,Type-A,61.0
B01781,T0173,Type-E,62.5
B01782,T0001,Type-B,58.0
B01783,T0095,Type-A,55.0
B01784,T0099,Type-D,62.5
B01785,t0145,Type-A,61.0
B01786,T0161,Type-E,60.0
B01787,T0156,Type-E,58.0
B01788,T0082,Type-E,55.0
B01789,T0055,Type-D,58.0
B01790,T0198,Type-A,58.0
B01791,T0105,Type-B,58.0
B01792,t0001,Type-E,58.0
B01793,T0092,Type-E,58.0
B01794,T0101,Type-C,62.5
B01795,T0110,Type-A,60.0
B01796,T0169,Type-A ,55.0
B01797,T0101,Type-D,58.0
B01798,T0010,Type-C,61.0
B01799,T0170,Type-D,61.0
B01800,T0156,Type-C,60.0
B01801,T0075,Type-D,58.0
B01802,T0179,Type-E,55.0
B01803,T0127,Type-C,61.0
B01804,T0045,Type-A,61.0
B01805,T0144,Type-C,61.0
B01806,T0108,Type-E,62.5
B01807,T0132,Type-C,55.0
B01808,T0087,Type-A,55.0
B01809,T0193,Type-E,62.5
B01810,T0087,Type-D,61.0
B01811,T0121,Type-E,61.0
B01812,T0131,Type-C,60.0
B01813,T0129,Type-A,55.0
B01814,t0129,Type-E,55.0
B01815,T0103,Type-A,55.0
B01816,T0157,Type-E,55.0
B01817,T0066,Type-D,61.0
B01818,T0184,Type-D,62.5
B01819,T0178,Type-D ,58.0
